kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
a,ah,-,"keto hae qumau-qau 'i o hada, ah, dia lagi akan membohongi"
aa,dalam,ari - mbotingu,dari dalam keranjang
aa,"sungai, kali",opw z woi wose petuhari'i hende - mowewe,"berapa kali besar yang bermuara se- 3 aa pinggang:- no monga, pinggang-"
aabola,kamar perahu,mbewiso doeke i - tetebua ikuno,tikus yang masuk di.kamar perahu kelihatan
aahua,sumur,ano inau petuha butu sa/a i -,dia pergi turun menuju jalan ke sumur
aahuano,sumurnya,mbemaroi i - rondembelaa mbendudu kuluri mbebaho,ramai sumurnya burung
aalaa,sungai,no ponggi o nw tolu pu'u nggasu i wiwi -,dia melihat dua tiga pohon kayu di tepi sungai
aalahambuti,aalahambuti,aalee tinamoako -,sehingga dinamakan
aalepa,bakul,anorurui umulambendua'i i -,"dia pungut, dia isi kern-"
aandembe,pelimbahan,andi-andino motonda ine tembe (i -},antingantingnya jatuh ke pelimbahan
aandoolo,hutan belantara,sabutuno mengaruhi dungguito i - motu 'o,tepat magrib sampailah. di hutan
aanggalo,lembah,o pitu - tinawunino,tujuh lembah yang ditim-
aangineke,sumur,i -,di sumur
aarano,bencah,- hende-hendeikaa wuta menggedo,tanah bencah
"aasaki, aasakindahi seberang",laut,laa iropo nggo dunggu mengapa inggapano mokele i -,mereka akan sampai berlabuh di pelabuhan raja
agarna,agama,iso-iso tembono leu -,"dahulu waktu datang agama 1 aha besar: pe'eka i laika -, naik di 2 aha tengkorak: anopekali'ako - uluno anopundusaki wala'ako tengge' Iarina, dibuangkanlah tengkoraknya dan betisnya dijadikan"
ahu,asap,mendoda ako - apino ari mondae,jelas sekali asap apinya
ahua,sumur,moia meena i woino - nggineke,air sumur jernih sekali
"ahupio, umahupio",menimba,i bioiwoi,Bio menimba air
ai,engkau,- oolu 'aku akupowisopo le 'esu ine rapi,"engkau tunggu saya, saya masuk dahulu ke dalam kamar"
aimbelako,engkau sekalian pergi,- kumiki'i nggiro'o ranoa,kamu sekalian pergi melihat semangka
ai,kalian,kei dunggu i raha - ponahu,"kalau kalian sampai di rumah, kalian memasak"
ai,kamu,- amba umale'ekee,kamu akan mengambilkan
ai,supaya anda,- sai agar: - peookilowu mbele,"agar 31, o az arang: mon unu -, mem-"
ainimo,ke bun,ianku nggo lako i - no,saya akan pergi ke kebunnya
aiso,hampir,haido - leu,"adiknya aisoito hampir:- kenangia mokole i wolio, hampir kalah raja di"
akala,akal,tomboowaindawa,kita
aki,karni,- leu mokowaliko rumuru 'i,karni datang membantumu
ako,sekali,o,"wose -, besar sekali"
aku,saya,no anggo kumaa -,dia
ala,Allah,ombu - taala,Tuhan Al-
ala,lumbung,nggiro 'o o -,lumbung itu
ale,ambil,ano - nggiro 'ono o ika,dia ambil ikan itu
umale,mengambil,oki de'ela no inaku - i,"bukan saya, kasihan yang mengambil"
umale'i,mengambil,inggo'o - o doi ine ta 'asi,kamu yang meng-
ambil,uang di tas,umale•ikee ambilkan: iamo - kinano,jangan ambilkan makanannya
aleikee,ambilkan,- pekano ano lako kumabi,"ambilkan pancing besamya, dia akan pergi memancing"
